Tanggal,Nama Saham,Sektor,Kepemilikan ,Harga ,Volume ,Market Cap 
2025-09-15,BRMS,Tambang Emas,Salim,555,1000000000000,82300000000000
2025-09-15,ANTM,Tambang Emas,Pemerintah,3490,150000000000,85000000000000
2025-09-15,MDKA ,Tambang Emas,Saratoga,2520,70000000000,61180000000000
2025-09-15,DEWA ,Kontraktor Tambang ,Salim,226,386000000000,9000000000000
2025-09-15,PTRO,Kontraktor Tambang ,Prajogo Pangestu,4110,83000000000,45200000000000
2025-09-15,UNTR,Kontraktor Tambang ,Astra,26300,2300000000,100000000000000
2025-09-15,BKSL ,Properti,SGP,139,434000000000,23200000000000
2025-09-15,PANI,Properti,"Salim , Aguan",13700,4800000000,225000000000000
2025-09-15,AHAP,Asuransi ,Salim,81,7800000000,382000000000
2025-09-15,COCO,Makanan,Sinarmas ,496,17500000000,476000000000
2025-09-15,PYFA,Farmasi,Sinarmas ,505,73000000000,5900000000000
2025-09-15,BRPT,Hoding,Prajogo Pangestu,2340,111000000000,229000000000000
2025-09-15,BBCA,Banking,Djarum,8025,129000000000,954000000000000
2025-09-15,BBRI ,Banking,Pemerintah,4140,167000000000,662000000000000
2025-09-15,BBNI,Banking,Pemerintah,4410,52000000000,160000000000000